epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
92,1246.29,1.50303,2.1527,1.12405,0.00554,0.72056,0.85266,0.86579,0.90967,0.70367,0.82899,0.82909,0.84894,0.56963,1.11355,1.6044,0.71701,0.00411,0,0.00979909,0.00979909,0.00979909
93,1259.92,1.51695,2.15092,1.11397,0.00549,0.7165,0.88196,0.82424,0.90501,0.69503,0.85924,0.79856,0.85882,0.59058,1.13619,1.61681,0.65181,0.00444,0,0.00979468,0.00979468,0.00979468
94,1273.52,1.47189,2.09557,1.07097,0.00531,0.65774,0.84059,0.85867,0.90891,0.7064,0.82006,0.82809,0.86134,0.58759,1.1349,1.5786,0.70178,0.00441,0,0.00979023,0.00979023,0.00979023
95,1287.35,1.49674,2.09967,1.09417,0.00553,0.74393,0.85635,0.82644,0.90269,0.69206,0.88577,0.75002,0.84583,0.57029,1.11283,1.6117,0.71944,0.00434,0,0.00978572,0.00978572,0.00978572
96,1301.14,1.51671,2.17614,1.16051,0.00558,0.79203,0.82754,0.81866,0.859,0.66078,0.78499,0.778,0.79432,0.53736,1.14661,1.58381,0.74073,0.00456,0,0.00978118,0.00978118,0.00978118
97,1314.59,1.49948,2.12806,1.11396,0.00548,0.72166,0.84351,0.85094,0.89533,0.67937,0.81902,0.79769,0.82784,0.55044,1.16029,1.65292,0.67115,0.00458,0,0.00977658,0.00977658,0.00977658
98,1328.31,1.51579,2.15887,1.14536,0.00557,0.73467,0.83018,0.85322,0.89477,0.70083,0.79724,0.82066,0.84987,0.58064,1.10812,1.60966,0.67188,0.00432,0,0.00977194,0.00977194,0.00977194
99,1341.72,1.48907,2.1285,1.09685,0.00542,0.69122,0.88881,0.80764,0.90528,0.69358,0.86748,0.78448,0.85403,0.56423,1.10703,1.53139,0.673,0.00425,0,0.00976725,0.00976725,0.00976725
100,1355.43,1.49078,2.11535,1.09901,0.00548,0.7531,0.84978,0.77202,0.89233,0.66177,0.84869,0.71505,0.80584,0.51876,1.19814,1.6522,0.72783,0.00476,0,0.00976251,0.00976251,0.00976251
101,1369.17,1.50046,2.14761,1.10321,0.0053,0.71532,0.89458,0.84984,0.91525,0.70163,0.85069,0.79741,0.84337,0.57771,1.16822,1.54023,0.66681,0.00457,0,0.00975773,0.00975773,0.00975773
102,1382.89,1.47015,2.05605,1.06151,0.00543,0.70631,0.88225,0.84374,0.91644,0.69242,0.8554,0.80022,0.85574,0.57627,1.13169,1.55139,0.65089,0.00438,0,0.0097529,0.0097529,0.0097529
103,1396.68,1.46004,2.07694,1.06076,0.00533,0.68624,0.86838,0.85869,0.91997,0.70851,0.84472,0.8191,0.86927,0.57541,1.12577,1.66332,0.65983,0.00426,0,0.00974803,0.00974803,0.00974803
104,1410.43,1.47737,2.06982,1.06771,0.00541,0.68935,0.82304,0.85037,0.90548,0.70198,0.8763,0.74749,0.85184,0.57586,1.09954,1.56921,0.6506,0.00416,0,0.0097431,0.0097431,0.0097431
105,1424.23,1.4658,2.0456,1.0523,0.00529,0.67611,0.82829,0.88601,0.91231,0.70056,0.8751,0.76923,0.84371,0.5783,1.11353,1.57136,0.6434,0.00438,0,0.00973814,0.00973814,0.00973814
106,1438.18,1.49496,2.13305,1.09606,0.00529,0.67643,0.90638,0.85829,0.9263,0.71236,0.93389,0.78988,0.8704,0.6116,1.13103,1.51227,0.63894,0.00448,0,0.00973312,0.00973312,0.00973312
107,1451.92,1.48768,2.10505,1.06638,0.00539,0.70097,0.89772,0.76603,0.89886,0.66687,0.8637,0.73367,0.82582,0.54886,1.16876,1.56159,0.72086,0.00456,0,0.00972806,0.00972806,0.00972806
108,1465.79,1.46344,2.09757,1.05592,0.00538,0.63273,0.91324,0.76916,0.89522,0.68775,0.87716,0.73279,0.81083,0.55398,1.11337,1.63494,0.70545,0.00446,0,0.00972296,0.00972296,0.00972296
109,1479.75,1.47318,2.06137,1.05916,0.00528,0.70963,0.8824,0.86483,0.90688,0.67875,0.83967,0.80683,0.85177,0.56469,1.12917,1.55468,0.68935,0.0045,0,0.0097178,0.0097178,0.0097178
110,1493.69,1.49836,2.11439,1.08756,0.00542,0.70786,0.86166,0.85129,0.90436,0.68039,0.83076,0.81451,0.85269,0.55575,1.15164,1.65572,0.66014,0.00454,0,0.0097126,0.0097126,0.0097126
111,1507.6,1.48423,2.09444,1.08228,0.00548,0.68839,0.89879,0.7791,0.89282,0.68719,0.88265,0.75563,0.82689,0.56904,1.16656,1.61496,0.69877,0.00466,0,0.00970736,0.00970736,0.00970736
112,1521.61,1.47076,2.04634,1.04344,0.00521,0.67348,0.8941,0.7982,0.90731,0.70235,0.8636,0.74271,0.83626,0.57114,1.1295,1.71887,0.64688,0.00444,0,0.00970207,0.00970207,0.00970207
113,1535.52,1.46321,2.05369,1.0651,0.00533,0.68212,0.89188,0.86011,0.91763,0.71844,0.8493,0.82379,0.86682,0.58248,1.10936,1.63149,0.65235,0.00419,0,0.00969673,0.00969673,0.00969673
114,1549.48,1.46348,2.03822,1.04725,0.00526,0.69023,0.90186,0.83065,0.90713,0.69154,0.85308,0.77588,0.83968,0.56851,1.15894,1.68148,0.67716,0.00436,0,0.00969135,0.00969135,0.00969135
115,1563.38,1.48927,2.07868,1.06224,0.00554,0.67395,0.90336,0.84351,0.9179,0.71395,0.91321,0.74326,0.84244,0.5856,1.12314,1.65996,0.64958,0.00435,0,0.00968592,0.00968592,0.00968592
